T,K,cycles – lfence,cycles/iter – lfence
10,1,40564270,40.56427
10,5,41316941,41.316941
10,10,42824974,42.824974
15,1,55616130,55.61613
15,5,56358623,56.358623
15,10,58073015,58.073015
15,15,59085376,59.085376
20,1,70612185,70.612185
20,5,71393154,71.393154
20,10,73133104,73.133104
20,15,74138589,74.138589
20,20,75132493,75.132493
25,1,84939374,84.939374
25,5,85183872,85.183872
25,10,87260558,87.260558
25,15,87955155,87.955155
25,20,88915519,88.915519
25,25,90673983,90.673983
30,1,99965947,99.965947
30,5,100178347,100.178347
30,10,102261438,102.261438
30,15,103032576,103.032576
30,20,104010895,104.010895
30,25,105599273,105.599273
30,30,106514107,106.514107
35,1,115300316,115.300316
35,5,115533611,115.533611
35,10,116886998,116.886998
35,15,118195565,118.195565
35,20,118892608,118.892608
35,25,120239864,120.239864
35,30,121376737,121.376737
35,35,123585124,123.585124
40,1,130012278,130.012278
40,5,130604639,130.604639
40,10,132025283,132.025283
40,15,133241392,133.241392
40,20,134314013,134.314013
40,25,135773299,135.773299
40,30,136510492,136.510492
40,35,138365603,138.365603
40,40,139355907,139.355907
45,1,145986444,145.986444
45,5,146420799,146.420799
45,10,147957986,147.957986
45,15,149053264,149.053264
45,20,150360272,150.360272
45,25,151847505,151.847505
45,30,152808077,152.808077
45,35,154367455,154.367455
45,40,155625956,155.625956
45,45,157394629,157.394629
50,1,160986468,160.986468
50,5,161280934,161.280934
50,10,163095338,163.095338
50,15,164227073,164.227073
50,20,165254048,165.254048
50,25,166833509,166.833509
50,30,167413694,167.413694
50,35,169336178,169.336178
50,40,170306266,170.306266
50,45,171782035,171.782035
50,50,172903259,172.903259
55,1,175730325,175.730325
55,5,176204138,176.204138
55,10,178365902,178.365902
55,15,179425260,179.42526
55,20,180418165,180.418165
55,25,181716535,181.716535
55,30,182712758,182.712758
55,35,184350052,184.350052
55,40,185354081,185.354081
55,45,186951152,186.951152
55,50,188416894,188.416894
55,55,190760348,190.760348
60,1,190756699,190.756699
60,5,191354653,191.354653
60,10,193378707,193.378707
60,15,194015933,194.015933
60,20,195343652,195.343652
60,25,196649875,196.649875
60,30,197654089,197.654089
60,35,199454056,199.454056
60,40,200314629,200.314629
60,45,201894160,201.89416
60,50,203368485,203.368485
60,55,206151088,206.151088
60,60,222691278,222.691278
65,1,205879082,205.879082
65,5,206418193,206.418193
65,10,208095275,208.095275
65,15,209303271,209.303271
65,20,210297427,210.297427
65,25,211828706,211.828706
65,30,212739059,212.739059
65,35,214355505,214.355505
65,40,215516665,215.516665
65,45,216804090,216.80409
65,50,218504266,218.504266
65,55,220523681,220.523681
65,60,237314279,237.314279
65,65,251090967,251.090967
70,1,220753763,220.753763
70,5,221706001,221.706001
70,10,223160896,223.160896
70,15,224077555,224.077555
70,20,225572420,225.57242
70,25,226917353,226.917353
70,30,228074355,228.074355
70,35,230285263,230.285263
70,40,230402305,230.402305
70,45,231778380,231.77838
70,50,233039434,233.039434
70,55,235361041,235.361041
70,60,251894013,251.894013
70,65,265746328,265.746328
70,70,281480288,281.480288
75,1,235699039,235.699039
75,5,236223931,236.223931
75,10,238296759,238.296759
75,15,239111773,239.111773
75,20,240120355,240.120355
75,25,241818782,241.818782
75,30,242631039,242.631039
75,35,244320688,244.320688
75,40,245306662,245.306662
75,45,246860158,246.860158
75,50,249743750,249.74375
75,55,250891692,250.891692
75,60,269765327,269.765327
75,65,281324542,281.324542
75,70,296526975,296.526975
75,75,312890854,312.890854
80,1,250791413,250.791413
80,5,251312483,251.312483
80,10,253361158,253.361158
80,15,254430722,254.430722
80,20,255522096,255.522096
80,25,256921060,256.92106
80,30,257755709,257.755709
80,35,259537062,259.537062
80,40,260558471,260.558471
80,45,262039869,262.039869
80,50,263342419,263.342419
80,55,265855581,265.855581
80,60,282123832,282.123832
80,65,296019337,296.019337
80,70,311339613,311.339613
80,75,328182616,328.182616
80,80,340640347,340.640347
85,1,265956182,265.956182
85,5,266378785,266.378785
85,10,268403435,268.403435
85,15,269091100,269.0911
85,20,270438411,270.438411
85,25,271798163,271.798163
85,30,272623979,272.623979
85,35,274376772,274.376772
85,40,275373030,275.37303
85,45,277558821,277.558821
85,50,278550082,278.550082
85,55,280647316,280.647316
85,60,297032996,297.032996
85,65,310928630,310.92863
85,70,326399395,326.399395
85,75,343103866,343.103866
85,80,355432147,355.432147
85,85,372596163,372.596163
90,1,280900205,280.900205
90,5,281570932,281.570932
90,10,283327338,283.327338
90,15,284504574,284.504574
90,20,285287608,285.287608
90,25,286818203,286.818203
90,30,287613819,287.613819
90,35,289400108,289.400108
90,40,290372734,290.372734
90,45,291922712,291.922712
90,50,293468753,293.468753
90,55,295417235,295.417235
90,60,312018702,312.018702
90,65,325528188,325.528188
90,70,341385060,341.38506
90,75,357385277,357.385277
90,80,370284841,370.284841
90,85,386738694,386.738694
90,90,400213620,400.21362
95,1,295849045,295.849045
95,5,296698361,296.698361
95,10,298196548,298.196548
95,15,299090190,299.09019
95,20,300517298,300.517298
95,25,301858557,301.858557
95,30,302635001,302.635001
95,35,304579380,304.57938
95,40,305437605,305.437605
95,45,306992854,306.992854
95,50,308519998,308.519998
95,55,310612871,310.612871
95,60,327155181,327.155181
95,65,340802553,340.802553
95,70,356698316,356.698316
95,75,372417670,372.41767
95,80,385704111,385.704111
95,85,404974285,404.974285
95,90,415246894,415.246894
95,95,430304283,430.304283
100,1,310900628,310.900628
100,5,311681471,311.681471
100,10,313319397,313.319397
100,15,314189483,314.189483
100,20,315215576,315.215576
100,25,317022530,317.02253
100,30,317750423,317.750423
100,35,319354501,319.354501
100,40,320522664,320.522664
100,45,321930998,321.930998
100,50,323481191,323.481191
100,55,325397909,325.397909
100,60,342330009,342.330009
100,65,356602047,356.602047
100,70,374218945,374.218945
100,75,390195634,390.195634
100,80,401108343,401.108343
100,85,421142866,421.142866
100,90,430771362,430.771362
100,95,447015620,447.01562
100,100,461224357,461.224357
